gene	logFCInfectedvsMock24	logFCInfected12vs4	logFCInfected24vs4	DEInfectedvsMock24	DEInfected12vs4	DEInfected24vs4
TRAF1	4.4353180572658	3.15626229106276	4.17296074823688	TRUE	TRUE	TRUE
RTP4	4.42873956643163	4.08720413867732	4.851432349832	TRUE	TRUE	TRUE
AJ003147.2	4.39642090478023	2.09200195305463	5.06467799863882	TRUE	FALSE	TRUE
SAMD9L	4.39295571488207	4.92364434965024	5.1364009528223	TRUE	TRUE	TRUE
GBP6	4.38467370416185	0.0427504101302437	1.58629272767802	TRUE	FALSE	FALSE
USP18	4.36666401152483	4.47704888174479	4.52329945393706	TRUE	TRUE	TRUE
KMO	4.34509580996292	3.99241648834938	3.29284426154643	TRUE	TRUE	TRUE
PLA2G4C	4.34365685070138	1.55270972026738	2.92776630011619	TRUE	TRUE	TRUE
OR1F1	4.33479306991549	0.118561261392215	4.3913582244461	TRUE	FALSE	TRUE
AL096711.2	4.33040352240784	1.63009400405825	1.2779188449804	TRUE	FALSE	FALSE
AC027290.1	4.31459975117612	0.723387976230299	3.4294487431788	TRUE	FALSE	TRUE
TNS4	4.31001793430193	-0.955331409275425	0.0778368370569289	TRUE	FALSE	FALSE
ARC	4.30674425462884	1.24484582413592	4.05089399062693	TRUE	FALSE	TRUE
LINC00944	4.27696354195471	3.13979472774767	4.49795208927716	TRUE	TRUE	TRUE
EBF4	4.26971205717387	2.04262321145316	3.94193383323438	TRUE	TRUE	TRUE
PPEF1	4.26806126667786	2.90057654851249	6.20893786724824	TRUE	FALSE	TRUE
APOBEC3G	4.26441575754871	4.39225845983858	4.92480333079561	TRUE	TRUE	TRUE
HSPB9	4.25223698074948	2.33371741392325	3.77984173297193	TRUE	FALSE	TRUE
LINC02328	4.24101889653258	4.40952594821809	5.32713281144499	TRUE	FALSE	TRUE
ADAMTSL2	4.23964623941698	2.37621808793048	3.73659198980539	TRUE	FALSE	TRUE
NOD2	4.23597899411279	5.15276838297113	5.74134804835326	TRUE	TRUE	TRUE
EGR4	4.23519529997489	1.86737710615319	2.81789471477194	TRUE	TRUE	TRUE
PTX3	4.22897410944246	2.9852325220372	2.66120380807257	TRUE	TRUE	TRUE
AC105219.4	4.22449401573365	1.37931456044322	3.26960695947571	TRUE	FALSE	FALSE
DCHS1	4.22178920199257	1.96816542440689	5.32745820229218	TRUE	FALSE	TRUE
SLC8A2	4.22015288773354	2.28458930411637	3.51279534898932	TRUE	TRUE	TRUE
PLCG2	4.21959995860577	1.17407673298042	3.85956436823404	TRUE	FALSE	TRUE
HCP5	4.21366726766798	1.24471696859545	4.0171970653563	TRUE	TRUE	TRUE
LMO2	4.20599357257278	5.17666599572924	4.71942741361502	TRUE	TRUE	TRUE
ACKR4	4.20149890187545	3.91306087191904	4.55159990175725	TRUE	TRUE	TRUE
HSPB8	4.20018687082982	0.678345479914922	2.03135639838706	TRUE	FALSE	TRUE
BX119927.1	4.18783447685029	2.40433576440431	3.88014211447222	TRUE	TRUE	TRUE
OAS2	4.18189471036739	4.19375375350094	4.68164766895596	TRUE	TRUE	TRUE
IFIH1	4.15125758667358	4.24056499282898	4.62476951854043	TRUE	TRUE	TRUE
EPSTI1	4.15103585571485	3.80782463014057	4.15577613689835	TRUE	TRUE	TRUE
IL12A	4.13869067220084	2.13607292160129	2.83018473342513	TRUE	TRUE	TRUE
SNPH	4.13816630885628	2.03340629711624	2.86175700450083	TRUE	TRUE	TRUE
ID4	4.12933153607839	4.03743242878273	4.64339207498411	TRUE	FALSE	TRUE
CSF1R	4.12249580564582	-1.13710235751	1.5109465093344	TRUE	FALSE	FALSE
SIPA1L2	4.0777430504916	4.45868182668492	4.93771760987551	TRUE	TRUE	TRUE
RASD1	4.07644371869866	-1.98155889906723	3.25977490610495	TRUE	FALSE	TRUE
TRANK1	4.07607543475203	4.71716813953247	4.70992509722527	TRUE	TRUE	TRUE
ZC3HAV1	4.06313312540931	2.97200998475441	4.25139109300867	TRUE	TRUE	TRUE
CNOT6LP1	4.05720621112736	5.67717373264077	7.3586755913515	TRUE	FALSE	FALSE
PMAIP1	4.03222945288399	2.66314920205148	3.55989141624072	TRUE	TRUE	TRUE
